"","title","type","text"
"218","The Tragedy of Romeo and Juliet","Tragedy","  Samp. Yes, better, sir."
"219","The Tragedy of Romeo and Juliet","Tragedy",""
"220","The Tragedy of Romeo and Juliet","Tragedy","  Abr. You lie."
"221","The Tragedy of Romeo and Juliet","Tragedy",""
"222","The Tragedy of Romeo and Juliet","Tragedy","  Samp. Draw, if you be men. Gregory, remember thy swashing blow."
"223","The Tragedy of Romeo and Juliet","Tragedy","                                                     They fight."
"224","The Tragedy of Romeo and Juliet","Tragedy",""
"225","The Tragedy of Romeo and Juliet","Tragedy","  Ben. Part, fools! [Beats down their swords.]"
"226","The Tragedy of Romeo and Juliet","Tragedy","    Put up your swords. You know not what you do."
"227","The Tragedy of Romeo and Juliet","Tragedy",""
"228","The Tragedy of Romeo and Juliet","Tragedy","                          Enter Tybalt."
"229","The Tragedy of Romeo and Juliet","Tragedy",""
"230","The Tragedy of Romeo and Juliet","Tragedy",""
"231","The Tragedy of Romeo and Juliet","Tragedy","  Tyb. What, art thou drawn among these heartless hinds?"
"232","The Tragedy of Romeo and Juliet","Tragedy","    Turn thee Benvolio! look upon thy death."
"233","The Tragedy of Romeo and Juliet","Tragedy",""
"234","The Tragedy of Romeo and Juliet","Tragedy","  Ben. I do but keep the peace. Put up thy sword,"
"235","The Tragedy of Romeo and Juliet","Tragedy","    Or manage it to part these men with me."
"236","The Tragedy of Romeo and Juliet","Tragedy",""
"237","The Tragedy of Romeo and Juliet","Tragedy","  Tyb. What, drawn, and talk of peace? I hate the word"
"238","The Tragedy of Romeo and Juliet","Tragedy","    As I hate hell, all Montagues, and thee."
"239","The Tragedy of Romeo and Juliet","Tragedy","    Have at thee, coward!                            They fight."
"240","The Tragedy of Romeo and Juliet","Tragedy",""
"241","The Tragedy of Romeo and Juliet","Tragedy","     Enter an officer, and three or four Citizens with clubs or"
"242","The Tragedy of Romeo and Juliet","Tragedy","                          partisans."
"243","The Tragedy of Romeo and Juliet","Tragedy",""
"244","The Tragedy of Romeo and Juliet","Tragedy",""
"245","The Tragedy of Romeo and Juliet","Tragedy","  Officer. Clubs, bills, and partisans! Strike! beat them down!"
"246","The Tragedy of Romeo and Juliet","Tragedy",""
"247","The Tragedy of Romeo and Juliet","Tragedy","  Citizens. Down with the Capulets! Down with the Montagues!"
"248","The Tragedy of Romeo and Juliet","Tragedy",""
"249","The Tragedy of Romeo and Juliet","Tragedy","           Enter Old Capulet in his gown, and his Wife."
"250","The Tragedy of Romeo and Juliet","Tragedy",""
"251","The Tragedy of Romeo and Juliet","Tragedy",""
"252","The Tragedy of Romeo and Juliet","Tragedy","  Cap. What noise is this? Give me my long sword, ho!"
"253","The Tragedy of Romeo and Juliet","Tragedy",""
"254","The Tragedy of Romeo and Juliet","Tragedy","  Wife. A crutch, a crutch! Why call you for a sword?"
"255","The Tragedy of Romeo and Juliet","Tragedy",""
"256","The Tragedy of Romeo and Juliet","Tragedy","  Cap. My sword, I say! Old Montague is come"
"257","The Tragedy of Romeo and Juliet","Tragedy","    And flourishes his blade in spite of me."
"258","The Tragedy of Romeo and Juliet","Tragedy",""
"259","The Tragedy of Romeo and Juliet","Tragedy","                 Enter Old Montague and his Wife."
"260","The Tragedy of Romeo and Juliet","Tragedy",""
"261","The Tragedy of Romeo and Juliet","Tragedy",""
"262","The Tragedy of Romeo and Juliet","Tragedy","  Mon. Thou villain Capulet!- Hold me not, let me go."
"263","The Tragedy of Romeo and Juliet","Tragedy",""
"264","The Tragedy of Romeo and Juliet","Tragedy","  M. Wife. Thou shalt not stir one foot to seek a foe."
"265","The Tragedy of Romeo and Juliet","Tragedy",""
"266","The Tragedy of Romeo and Juliet","Tragedy","                Enter Prince Escalus, with his Train."
"267","The Tragedy of Romeo and Juliet","Tragedy",""
"268","The Tragedy of Romeo and Juliet","Tragedy",""
"269","The Tragedy of Romeo and Juliet","Tragedy","  Prince. Rebellious subjects, enemies to peace,"
"270","The Tragedy of Romeo and Juliet","Tragedy","    Profaners of this neighbour-stained steel-"
"271","The Tragedy of Romeo and Juliet","Tragedy","    Will they not hear? What, ho! you men, you beasts,"
"272","The Tragedy of Romeo and Juliet","Tragedy","    That quench the fire of your pernicious rage"
"273","The Tragedy of Romeo and Juliet","Tragedy","    With purple fountains issuing from your veins!"
"274","The Tragedy of Romeo and Juliet","Tragedy","    On pain of torture, from those bloody hands"
"275","The Tragedy of Romeo and Juliet","Tragedy","    Throw your mistempered weapons to the ground"
"276","The Tragedy of Romeo and Juliet","Tragedy","    And hear the sentence of your moved prince."
"277","The Tragedy of Romeo and Juliet","Tragedy","    Three civil brawls, bred of an airy word"
"278","The Tragedy of Romeo and Juliet","Tragedy","    By thee, old Capulet, and Montague,"
"279","The Tragedy of Romeo and Juliet","Tragedy","    Have thrice disturb'd the quiet of our streets"
"280","The Tragedy of Romeo and Juliet","Tragedy","    And made Verona's ancient citizens"
"281","The Tragedy of Romeo and Juliet","Tragedy","    Cast by their grave beseeming ornaments"
"282","The Tragedy of Romeo and Juliet","Tragedy","    To wield old partisans, in hands as old,"
"283","The Tragedy of Romeo and Juliet","Tragedy","    Cank'red with peace, to part your cank'red hate."
"284","The Tragedy of Romeo and Juliet","Tragedy","    If ever you disturb our streets again,"
"285","The Tragedy of Romeo and Juliet","Tragedy","    Your lives shall pay the forfeit of the peace."
"286","The Tragedy of Romeo and Juliet","Tragedy","    For this time all the rest depart away."
"287","The Tragedy of Romeo and Juliet","Tragedy","    You, Capulet, shall go along with me;"
"288","The Tragedy of Romeo and Juliet","Tragedy","    And, Montague, come you this afternoon,"
"289","The Tragedy of Romeo and Juliet","Tragedy","    To know our farther pleasure in this case,"
"290","The Tragedy of Romeo and Juliet","Tragedy","    To old Freetown, our common judgment place."
"291","The Tragedy of Romeo and Juliet","Tragedy","    Once more, on pain of death, all men depart."
"292","The Tragedy of Romeo and Juliet","Tragedy","              Exeunt [all but Montague, his Wife, and Benvolio]."
"293","The Tragedy of Romeo and Juliet","Tragedy",""
"294","The Tragedy of Romeo and Juliet","Tragedy","  Mon. Who set this ancient quarrel new abroach?"
"295","The Tragedy of Romeo and Juliet","Tragedy","    Speak, nephew, were you by when it began?"
"296","The Tragedy of Romeo and Juliet","Tragedy",""
"297","The Tragedy of Romeo and Juliet","Tragedy","  Ben. Here were the servants of your adversary"
"298","The Tragedy of Romeo and Juliet","Tragedy","    And yours, close fighting ere I did approach."
"299","The Tragedy of Romeo and Juliet","Tragedy","    I drew to part them. In the instant came"
"300","The Tragedy of Romeo and Juliet","Tragedy","    The fiery Tybalt, with his sword prepar'd;"
"301","The Tragedy of Romeo and Juliet","Tragedy","    Which, as he breath'd defiance to my ears,"
"302","The Tragedy of Romeo and Juliet","Tragedy","    He swung about his head and cut the winds,"
"303","The Tragedy of Romeo and Juliet","Tragedy","    Who, nothing hurt withal, hiss'd him in scorn."
"304","The Tragedy of Romeo and Juliet","Tragedy","    While we were interchanging thrusts and blows,"
"305","The Tragedy of Romeo and Juliet","Tragedy","    Came more and more, and fought on part and part,"
"306","The Tragedy of Romeo and Juliet","Tragedy","    Till the Prince came, who parted either part."
"307","The Tragedy of Romeo and Juliet","Tragedy",""
"308","The Tragedy of Romeo and Juliet","Tragedy","  M. Wife. O, where is Romeo? Saw you him to-day?"
"309","The Tragedy of Romeo and Juliet","Tragedy","    Right glad I am he was not at this fray."
"310","The Tragedy of Romeo and Juliet","Tragedy",""
"311","The Tragedy of Romeo and Juliet","Tragedy","  Ben. Madam, an hour before the worshipp'd sun"
"312","The Tragedy of Romeo and Juliet","Tragedy","    Peer'd forth the golden window of the East,"
"313","The Tragedy of Romeo and Juliet","Tragedy","    A troubled mind drave me to walk abroad;"
